dataset,variant,q,trial,auc
Chameleon,no-PI,1.0,9,0.9843790074800216
Chameleon,PI,1.0,10,0.9656471468666848
Chameleon,no-PI,1.0,10,0.965583381718537
Chameleon,PI,1.0,11,0.9594006947210358
Chameleon,no-PI,1.0,11,0.9856599323106869
Chameleon,PI,1.0,12,0.954225031107668
Chameleon,no-PI,1.0,12,0.9627919977828567
Chameleon,PI,1.0,13,0.9626573768426051
Chameleon,no-PI,1.0,13,0.9835450464558734
Chameleon,PI,1.0,14,0.9590936698377377
Chameleon,no-PI,1.0,14,0.9794026416092763
Chameleon,PI,1.0,15,0.9624580790999826
Chameleon,no-PI,1.0,15,0.9660076048169378
Chameleon,PI,1.0,16,0.9467574181304121
Chameleon,no-PI,1.0,16,0.9673055471930978
Chameleon,PI,1.0,17,0.9563944136260296
Chameleon,no-PI,1.0,17,0.9850779930317204
Chameleon,PI,1.0,18,0.9624856313164974
Chameleon,no-PI,1.0,18,0.973339685199719
Chameleon,PI,1.0,19,0.957201683440429
Chameleon,no-PI,1.0,19,0.9854652941340927
